名稱,地址,緯度(lat),經度(lng),分類,Day,備註
仁川國際機場 T2,인천 중구 공항로 272,37.4602,126.4407,交通,1,"LJ73X，接駁車往返"
鐘路成大民宿,成均館路周邊 Jongno District Seoul,37.5872,126.9930,住宿,1-7,"惠化站/成大商圈，有大廚房"
樂天世界 Adventure,서울 송파구 올림픽로 240,37.5111,127.0980,體驗,2,"樂園，與新楓之谷合作，有遊行"
石村湖,서울 송파구 잠실로 148,37.5089,127.1006,景點,2,傍晚湖畔散步乘涼
樂天世界水族館,서울 송파구 올림픽로 300,37.5132,127.1029,體驗,3,室內冷氣避暑，看白鯨
星空圖書館 (COEX),서울 강남구 영동대로 513,37.5113,127.0598,景點,3,"13米高巨型書牆，冷氣避暑"
SEOUL SKY 樂天塔,서울 송파구 올림픽로 300,37.5125,127.1025,景點,3,"117F 玻璃地板，首爾最高地標"
The Hyundai Seoul 現代百貨,서울 영등포구 여의대로 108,37.5258,126.9285,購物,4,"最大室內花園百貨，避暑"
漢江遊覽船(汝矣島渡口),서울 영등포구 여의동로 290,37.5283,126.9337,體驗,4,"傍晚 17:30，餵食海鷗不暈船"
松月洞童話村,인천 중구 송월동3가 10-1,37.4764,126.6190,景點,4,備選：童話彩繪街區
月尾島海洋列車,인천 중구 북성동1가 97-17,37.4761,126.6062,體驗,4,備選：冷氣觀光單軌電車
景福宮,서울 종로구 사직로 161,37.5796,126.9770,景點,5,"租韓服免票，10:00 守門將交接"
土俗村蔘雞湯,서울 종로구 자하문로5길 5,37.5766,126.9723,美食,5,"人蔘雞清湯不辣，素食糯米飯"
廣藏市場,서울 종로구 창경궁로 88,37.5701,126.9999,美食,5,"綠豆煎餅、麻藥飯捲，小吃多"
益善洞韓屋村,서울 종로구 익선동,37.5744,126.9897,景點,5,"平地古風韓屋小巷，漫步與晚餐"
明洞商圈,서울 중구 명동길,37.5636,126.9848,購物,6,"美妝、Egg Drop、街邊小吃"
南山纜車 + N首爾塔,서울 용산구南山公園길 105,37.5512,126.9882,景點,6,搭乘纜車直達山頂，不爬山
明洞亂打秀劇場,서울 중구 명동길 26,37.5636,126.9845,體驗,6,"17:00 場次，90分鐘室內秀"
樂天超市 首爾站店,서울 중구 청파로 426,37.5574,126.9706,購物,6,"旗艦樂天超市，大採買退稅"
